"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-10-31,60391,"06607","CT","Stamford","Fairfield","Bridgeport",8262,126200,-0.000791765637371338,-0.00473186119873817,-0.0596125186289121,0.00945409370395245,-0.0270982776254065,"2006-07","2006-Q3",179500,-0.296935933147632,"2004-04"
2015-10-31,70020,"28544","NC","Jacksonville","Onslow","Midway Park",8263,97100,-0.0122075279755849,-0.030938123752495,-0.0950605778191985,-0.0334400826354692,0.0186724704000043,"2011-06","2011-Q2",116900,-0.169375534644996,"2007-08"
2015-10-31,99773,"98388","WA","Seattle","Pierce","Steilacoom",8264,301900,0.00801335559265442,0.0223501523874026,0.0530170910359261,0.0153203260741415,-0.000692946271106165,"2007-06","2007-Q2",342100,-0.117509500146156,"2005-10"
2015-10-31,95788,"89061","NV","Pahrump","Nye","Pahrump",8265,187700,0.0016008537886873,0.00428036383092563,0.0381637168141593,0.0659331787043087,-0.0370866141831889,"2006-09","2006-Q3",295400,-0.3645903859174,"2004-05"
2015-10-31,78224,"46711","IN","Decatur","Adams","Berne",8266,90200,-0.0077007700770077,-0.0280172413793103,-0.0259179265658747,0.0157997401134622,-0.0186636956613261,"2005-11","2005-Q4",109300,-0.174748398902104,"2001-03"
2015-10-31,65371,"18106","PA","Allentown","Lehigh","Lower Macungie",8267,241500,0.0020746887966805,0.013003355704698,0.0159865376525032,0.0113052102162441,-0.00321368105228326,"2006-11","2006-Q4",275600,-0.123730043541364,"2005-08"
2015-10-31,70090,"28638","NC","Hickory","Caldwell","Hudson",8268,98300,0.00408580183861083,0.00924024640657084,0.0558539205155747,0.0193901005836445,0.00384402449232302,"2007-12","2007-Q4",102600,-0.0419103313840156,"2006-08"
2015-10-31,95768,"89029","NV","Las Vegas","Clark","Laughlin",8269,120000,0.00166944908180301,-0.004149377593361,0.0126582278481013,0.00645653380195799,-0.0457139524477989,"2006-04","2006-Q2",214700,-0.44108057755007,"2003-06"
2015-10-31,72654,"33513","FL","The Villages","Sumter","Bushnell",8270,109700,0.00827205882352941,0.0110599078341014,-0.000910746812386157,-0.0114466779386092,-0.0159230114940321,"2006-12","2006-Q4",166500,-0.341141141141141,"2005-03"
2015-10-31,88920,"71115","LA","Shreveport","Caddo","Shreveport",8271,188800,-0.00264131008980454,-0.00105820105820106,0.0413678985107556,0.0135646517652204,,"2015-08","2015-Q3",189500,-0.00369393139841689,"2015-07"
2015-10-31,60785,"07739","NJ","New York","Monmouth","Little Silver",8272,612900,-0.00276602668402213,-0.00390053632374451,0.0716908550445882,0.033182618980804,0.0018959470327935,"2006-08","2006-Q3",624800,-0.0190460947503201,"2005-12"
2015-10-31,71824,"32148","FL","Palatka","Putnam","Interlachen",8273,81600,-0.00366300366300366,0.0099009900990099,0.0434782608695652,-0.0224279127534841,,"2009-10","2009-Q4",104500,-0.219138755980861,
2015-10-31,60904,"08007","NJ","Philadelphia","Camden","Barrington",8274,169300,0.00653983353151011,0.0204942736588306,0.0168168168168168,-0.0133850281993927,-0.0129651815085989,"2007-07","2007-Q3",215600,-0.214749536178108,"2004-10"
2015-10-31,65256,"17931","PA","Pottsville","Schuylkill","Frackville",8275,56900,0.00886524822695036,0.0233812949640288,-0.00350262697022767,0.0101433293738229,0.00303784370845395,"2007-10","2007-Q4",65400,-0.129969418960245,"2006-06"
2015-10-31,72098,"32603","FL","Gainesville","Alachua","Gainesville",8276,203500,0.0251889168765743,0.0451977401129944,-0.00245098039215686,-0.0079634083731337,-0.01399478373424,"2007-01","2007-Q1",278500,-0.269299820466786,"2004-10"
2015-10-31,90315,"74132","OK","Tulsa","Tulsa","Tulsa",8277,142400,-0.00140252454417952,-0.00349895031490553,-0.0111111111111111,0.0300595299639981,0.0248551311605665,"2015-01","2015-Q1",147200,-0.0326086956521739,"2014-09"
2015-10-31,85886,"63044","MO","St. Louis","Saint Louis","Bridgeton",8278,136200,0.00590841949778434,0.0217554388597149,0.0861244019138756,-0.010938577905481,-0.0184027659735581,"2007-12","2007-Q4",173700,-0.215889464594128,"2002-06"
2015-10-31,78656,"47542","IN","Jasper","Dubois","Huntingburg",8279,125400,0.0032,0.00239808153477218,0.0511316010058676,0.0337954203778639,0.00887082908625714,"2013-12","2013-Q4",136500,-0.0813186813186813,"2013-10"
2015-10-31,69735,"28127","NC","Albemarle","Stanly","New London",8280,137000,-0.000729394602479942,0.00809418690213392,-0.00868306801736614,0.012892809031066,0.0158190831376579,"2014-08","2014-Q3",139300,-0.0165111270638909,"2014-05"
2015-10-31,70539,"29541","SC","Florence","Florence","Florence",8281,111100,0.003613369467028,0.0146118721461187,0.0155393053016453,0.0166411514863447,0.0121101561040637,"2015-10","2015-Q4",111100,0,"2015-10"
2015-10-31,71711,"31833","GA","LaGrange","Troup","West Point",8282,86400,-0.0103092783505155,-0.0259301014656144,-0.0598476605005441,-0.00320960314215013,0.00438639958876252,"2008-08","2008-Q3",109600,-0.211678832116788,"2006-08"
2015-10-31,63902,"15104","PA","Pittsburgh","Allegheny","North Braddock",8283,44200,0.00226757369614512,-0.00896860986547085,0.00454545454545455,0.0161373647415957,0.020732579871142,"2015-06","2015-Q2",44800,-0.0133928571428571,"2015-05"
2015-10-31,70796,"30009","GA","Atlanta","Fulton","Alpharetta",8284,267400,0.00488538143555054,0.0109640831758034,0.0713141025641026,0.0471318708046171,0.0151807095116796,"2015-10","2015-Q4",267400,0,"2015-10"
2015-10-31,62904,"13029","NY","Syracuse","Onondaga","Cicero",8285,137700,0.00291332847778587,0.0147383935151069,0.00218340611353712,0.000145306603055007,0.00717419826040766,"2010-03","2010-Q1",141700,-0.0282286520818631,"2009-04"
2015-10-31,60302,"06419","CT","Hartford","Middlesex","Killingworth",8286,350700,0.00372066399542072,0.00689061154177433,-0.0233918128654971,-0.00801572764430269,-0.0174958148571932,"2006-07","2006-Q3",427700,-0.180032733224223,"2003-09"
2015-10-31,85256,"62010","IL","St. Louis","Madison","Bethalto",8287,111500,0.0026978417266187,0.00996376811594203,0.0182648401826484,-0.00337365646808518,0.000179549378928057,"2008-11","2008-Q4",121300,-0.0807914262159934,"2006-01"
2015-10-31,94719,"85003","AZ","Phoenix","Maricopa","Phoenix",8288,343800,0.0162577593851611,0.0468940316686967,0.168592794017675,0.0946906731134451,0.00111206542055942,"2007-07","2007-Q3",383500,-0.103520208604954,"2005-11"
2015-10-31,94889,"85307","AZ","Phoenix","Maricopa","Phoenix",8289,158500,0.0108418367346939,0.0352710646636185,0.0931034482758621,0.111331261525481,-0.0413561355978578,"2006-02","2006-Q1",251700,-0.370282081843464,"2004-11"
2015-10-31,65222,"17857","PA","Sunbury","Northumberland","Point Township",8290,124000,0.00977198697068404,0.0205761316872428,0.00404858299595142,0.00607697889347092,0.008532263543507,"2014-12","2014-Q4",125200,-0.00958466453674121,"2014-11"
2015-10-31,99015,"97009","OR","Portland","Clackamas","Boring",8291,367700,0.0115543328748281,0.0384072295961593,0.0865839243498818,0.0343283672217165,0.0135490612668698,"2007-10","2007-Q4",391800,-0.0615109749872384,"2006-07"
2015-10-31,82101,"55092","MN","Minneapolis-St Paul","Chisago","Wyoming",8292,197000,0.00767263427109974,0.0191412312467667,0.0770913067249863,0.0258489696862558,-0.0213294890644988,"2006-10","2006-Q4",247800,-0.20500403551251,"2002-11"
2015-10-31,99539,"98057","WA","Seattle","King","Renton",8293,263400,-0.00678733031674208,-0.00528700906344411,0.0694275274056029,0.0449659939102571,0.00628640998805663,"2007-07","2007-Q3",319800,-0.176360225140713,"2006-02"
2015-10-31,60578,"07069","NJ","New York","Somerset","Watchung",8294,649900,0.0140427523794664,0.0197709085203201,-0.0094497789971041,0.0073930668102804,-0.0144465134324351,"2005-12","2005-Q4",760000,-0.144868421052632,"2004-04"
